"filename", "language", "Properties", "JavaScript", "YAML", "NGINX Conf", "dockerfile", "HTML", "SQL", "JSON with Comments", "Markdown", "JavaScript JSX", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Илья\Desktop\startup\src\Components\Menu\Menu.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 11, 104
"c:\Users\Илья\Desktop\startup\src\Components\Newsletter\Newsletter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 8, 33
"c:\Users\Илья\Desktop\startup\src\Components\Newsletter\Newsletter.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 5, 52
"c:\Users\Илья\Desktop\startup\src\Components\QuestionsContent\QuestionsContent.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 6, 43
"c:\Users\Илья\Desktop\startup\src\Components\QuestionsContent\QuestionsContetn.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Илья\Desktop\startup\src\Components\RegistrationAdd\RegistrationAdd.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\Илья\Desktop\startup\src\Components\RegistrationAdd\RegistrationAdd.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 2, 58
"c:\Users\Илья\Desktop\startup\src\Components\Registration\LoginComponent\LoginComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 13, 124
"c:\Users\Илья\Desktop\startup\src\Components\Registration\LoginComponent\LoginComponent.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 7, 125
"c:\Users\Илья\Desktop\startup\src\Components\Registration\Registration.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 5, 56
"c:\Users\Илья\Desktop\startup\src\Components\Registration\Registration.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 8, 82
"c:\Users\Илья\Desktop\startup\src\Components\Registration\RegistrationComponent\RegistrationComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 15, 201
"c:\Users\Илья\Desktop\startup\src\Components\Registration\RegistrationComponent\RegistrationComponent.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 7, 59
"c:\Users\Илья\Desktop\startup\src\Components\RightSideHeader\RightSideHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 10, 107
"c:\Users\Илья\Desktop\startup\src\Components\RightSideHeader\RightSideHeader.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 13, 173
"c:\Users\Илья\Desktop\startup\src\Components\Sections\AboutSection\AboutSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 3, 61
"c:\Users\Илья\Desktop\startup\src\Components\Sections\AboutSection\AboutSection.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 13, 118
"c:\Users\Илья\Desktop\startup\src\Components\Sections\GallerySection\Gallery.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\Илья\Desktop\startup\src\Components\Sections\GallerySection\Gallery.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\Илья\Desktop\startup\src\Components\SideHeader\SideHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\Илья\Desktop\startup\src\Components\SideHeader\SideHeader.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 8, 87
